"date","first_name","last_name","hourly_rate","start_time","end_time","hours_in_shift","staff_cost"
"10/8/2022 00:00:00","Mindy","Sloan","17.25","10:30:00","14:30:00","4","69"
"10/8/2022 00:00:00","Luqman","Cantu","21.5","10:30:00","14:30:00","4","86"
"10/8/2022 00:00:00","Lilly-Rose","Vaughn","14.5","10:30:00","14:30:00","4","58"
"10/8/2022 00:00:00","Desiree","Gardner","14.5","10:30:00","14:30:00","4","58"
"10/8/2022 00:00:00","Mindy","Sloan","17.25","18:30:00","23:00:00","4.5","77.625"
"10/8/2022 00:00:00","Luqman","Cantu","21.5","18:30:00","23:00:00","4.5","96.75"
"10/8/2022 00:00:00","Lilly-Rose","Vaughn","14.5","18:30:00","23:00:00","4.5","65.25"
"10/8/2022 00:00:00","Desiree","Gardner","14.5","18:30:00","23:00:00","4.5","65.25"
"11/8/2022 00:00:00","Mindy","Sloan","17.25","10:30:00","14:30:00","4","69"
"11/8/2022 00:00:00","Luqman","Cantu","21.5","10:30:00","14:30:00","4","86"
"11/8/2022 00:00:00","Lilly-Rose","Vaughn","14.5","10:30:00","14:30:00","4","58"
"11/8/2022 00:00:00","Desiree","Gardner","14.5","10:30:00","14:30:00","4","58"
"11/8/2022 00:00:00","Mindy","Sloan","17.25","18:30:00","23:00:00","4.5","77.625"
"11/8/2022 00:00:00","Luqman","Cantu","21.5","18:30:00","23:00:00","4.5","96.75"
"11/8/2022 00:00:00","Lilly-Rose","Vaughn","14.5","18:30:00","23:00:00","4.5","65.25"
"11/8/2022 00:00:00","Desiree","Gardner","14.5","18:30:00","23:00:00","4.5","65.25"
"12/8/2022 00:00:00","Mindy","Sloan","17.25","10:30:00","14:30:00","4","69"
"12/8/2022 00:00:00","Luqman","Cantu","21.5","10:30:00","14:30:00","4","86"
"12/8/2022 00:00:00","Lilly-Rose","Vaughn","14.5","10:30:00","14:30:00","4","58"
"12/8/2022 00:00:00","Desiree","Gardner","14.5","10:30:00","14:30:00","4","58"
"12/8/2022 00:00:00","Mindy","Sloan","17.25","18:30:00","23:00:00","4.5","77.625"
"12/8/2022 00:00:00","Luqman","Cantu","21.5","18:30:00","23:00:00","4.5","96.75"
"12/8/2022 00:00:00","Lilly-Rose","Vaughn","14.5","18:30:00","23:00:00","4.5","65.25"
"12/8/2022 00:00:00","Desiree","Gardner","14.5","18:30:00","23:00:00","4.5","65.25"
"13/8/2022 00:00:00","Seren","Lindsey","17.25","10:30:00","14:30:00","4","69"
"13/8/2022 00:00:00","Arran","Hodgson","21.5","10:30:00","14:30:00","4","86"
"13/8/2022 00:00:00","Ivan","English","14.5","10:30:00","14:30:00","4","58"
"13/8/2022 00:00:00","Johnathon","Bradford","14.5","10:30:00","14:30:00","4","58"
"13/8/2022 00:00:00","Seren","Lindsey","17.25","18:30:00","23:00:00","4.5","77.625"
"13/8/2022 00:00:00","Arran","Hodgson","21.5","18:30:00","23:00:00","4.5","96.75"
"13/8/2022 00:00:00","Ivan","English","14.5","18:30:00","23:00:00","4.5","65.25"
"13/8/2022 00:00:00","Johnathon","Bradford","14.5","18:30:00","23:00:00","4.5","65.25"
"14/8/2022 00:00:00","Seren","Lindsey","17.25","10:30:00","14:30:00","4","69"
"14/8/2022 00:00:00","Arran","Hodgson","21.5","10:30:00","14:30:00","4","86"
"14/8/2022 00:00:00","Ivan","English","14.5","10:30:00","14:30:00","4","58"
"14/8/2022 00:00:00","Johnathon","Bradford","14.5","10:30:00","14:30:00","4","58"
"14/8/2022 00:00:00","Seren","Lindsey","17.25","18:30:00","23:00:00","4.5","77.625"
"14/8/2022 00:00:00","Arran","Hodgson","21.5","18:30:00","23:00:00","4.5","96.75"
"14/8/2022 00:00:00","Ivan","English","14.5","18:30:00","23:00:00","4.5","65.25"
"14/8/2022 00:00:00","Johnathon","Bradford","14.5","18:30:00","23:00:00","4.5","65.25"
